"PLATFORM","RELEASE_YEAR","TITLE","RATING_VALUE"
"Hulu",2018,"Minding the Gap",90
"Hulu",2019,"Parasite",88
"Hulu",2020,"Big Time Adolescence",83
"Hulu",2021,"Nomadland",79
"Netflix",1954,"White Christmas",71
"Netflix",1956,"Dark Waters",44
"Netflix",1958,"Cairo Station",61
"Netflix",1959,"Ujala",40
"Netflix",1960,"Singapore",41
"Netflix",1962,"Professor",48
"Netflix",1963,"Saladin the Victorious",53
"Netflix",1964,"My Fair Lady",75
"Netflix",1966,"Amrapali",44
"Netflix",1969,"Prince",44
"Netflix",1970,"The Land",57
"Netflix",1971,"A Clockwork Orange",86
"Netflix",1972,"FTA",51
"Netflix",1973,"The School of Mischief",42
"Netflix",1974,"Chinatown",82
"Netflix",1975,"Monty Python and the Holy Grail",84
"Netflix",1976,"The Outlaw Josey Wales",76
"Netflix",1977,"Hitler: A Career",57
"Netflix",1978,"Bandie",35
"Netflix",1979,"Life of Brian",82
"Netflix",1980,"The Long Riders",65
"Netflix",1981,"The Four Seasons",58
"Netflix",1982,"Monty Python Live at the Hollywood Bowl",70
"Netflix",1983,"Still Smokin",57
"Netflix",1984,"The Karate Kid",79
"Netflix",1985,"Disciples of the 36th Chamber",52
"Netflix",1986,"The Karate Kid Part II",70
"Netflix",1987,"Eddie Murphy Raw",68
"Netflix",1988,"Rain Man",83
"Netflix",1989,"The Karate Kid Part III",65
"Netflix",1990,"Total Recall",81
"Netflix",1991,"Terminator 2: Judgment Day",89
"Netflix",1992,"Under Siege",70
"Netflix",1993,"What's Eating Gilbert Grape",78
"Netflix",1994,"Stargate",78
"Netflix",1995,"Mortal Kombat",69
"Netflix",1996,"The Mirror Has Two Faces",64
"Netflix",1997,"Boogie Nights",81
"Netflix",1998,"The Big Lebowski",87
"Netflix",1999,"Austin Powers: The Spy Who Shagged Me",76
"Netflix",2000,"The Patriot",79
"Netflix",2001,"Lagaan: Once Upon a Time in India",94
"Netflix",2002,"The Pianist",86
"Netflix",2003,"Kal Ho Naa Ho",85
"Netflix",2004,"Swades",91
"Netflix",2005,"No Direction Home: Bob Dylan",87
"Netflix",2006,"The Departed",89
"Netflix",2007,"The Pixar Story",84
"Netflix",2008,"Kung Fu Panda",83
"Netflix",2009,"3 Idiots",86
"Netflix",2010,"Shutter Island",88
"Netflix",2011,"The Intouchables",88
"Netflix",2012,"Django Unchained",89
"Netflix",2013,"Special 26",87
"Netflix",2014,"Virunga",90
"Netflix",2015,"Talvar",90
"Netflix",2016,"Dangal",97
"Netflix",2017,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",92
"Netflix",2018,"Roma",94
"Netflix",2019,"The Irishman",98
"Netflix",2020,"David Attenborough: A Life on Our Planet",95
"Netflix",2021,"Bo Burnham: Inside",81
"Prime Video",1914,"The Patchwork Girl of Oz",45
"Prime Video",1915,"The Cheat",52
"Prime Video",1916,"Joan the Woman",44
"Prime Video",1919,"Broken Blossoms",62
"Prime Video",1920,"The Mark of Zorro",55
"Prime Video",1922,"Robin Hood",58
"Prime Video",1925,"Battleship Potemkin",72
"Prime Video",1927,"College",57
"Prime Video",1928,"Flying Elephants",45
"Prime Video",1929,"The Iron Mask",52
"Prime Video",1930,"The Devil to Pay!",45
"Prime Video",1931,"Tabu",60
"Prime Video",1932,"The Most Dangerous Game",65
"Prime Video",1933,"The Kennel Murder Case",57
"Prime Video",1934,"Of Human Bondage",61
"Prime Video",1935,"The 39 Steps",73
"Prime Video",1936,"Dodsworth",81
"Prime Video",1937,"Stella Dallas",63
"Prime Video",1938,"The Cowboy and the Lady",51
"Prime Video",1939,"Wuthering Heights",67
"Prime Video",1940,"Gaslight",82
"Prime Video",1941,"The Little Foxes",66
"Prime Video",1942,"The Pride of the Yankees",65
"Prime Video",1943,"Stage Door Canteen",53
"Prime Video",1944,"The Princess and the Pirate",54
"Prime Video",1945,"And Then There Were None",67
